model,tier,layer,cosine,causal_similarity,causal_projection
C2,negated,20,-0.11332980140054133,-0.9149813635875688,-1715.7046179056456
C2,negated,22,-0.14191942852630746,-0.9060930318527991,-2694.2984559601873
C2,negated,24,-0.3219730611308478,-0.9733065338888531,-5546.013674373497
C2,negated,27,-0.42654698045924305,-0.9867377560583153,-13438.178692108571
C2,neutral,0,-0.20746663901622275,-0.1754723128033032,-0.7904913490081967
C2,neutral,2,-0.04691749981504732,0.6612082919668346,184.30968283682225
C2,neutral,4,-0.02687196317128837,0.549754463249644,174.37285438557285
C2,neutral,6,-0.06631661660104458,0.12013962838593033,64.72563342701997
C2,neutral,8,-0.0060990138245480404,0.5851886127469251,394.6743928921705
C2,neutral,10,-0.06337028085121087,-0.39638840948925697,-336.54805011717815
C2,neutral,12,-0.1516849601415119,-0.8322112193311098,-899.5852912209426
C2,neutral,14,-0.17271816496338163,-0.8997236525898871,-1059.600814981028
C2,neutral,16,-0.20550047699894225,-0.898905723969678,-1248.6612440336876
C2,neutral,18,-0.22291178180703095,-0.9287394725964766,-1441.7800166732127
C2,neutral,20,-0.23367825382522175,-0.9299541664084183,-1874.1233347638224
C2,neutral,22,-0.2248771097511053,-0.9097350907031271,-2754.8391966238164
C2,neutral,24,-0.3849670531920024,-0.9802852374685671,-5863.863645987822
C2,neutral,27,-0.46581484083618435,-0.9884412594842054,-14056.298503175252
C2,_steepness,0,0.34917369778342877,0.34165123769449146,1.5240913714334146
C2,_steepness,2,0.34476335409346837,0.13109293247178955,47.0228864628711
C2,_steepness,4,0.37492699893773535,0.16169678602265125,40.06741666988506
C2,_steepness,6,0.3897950315063021,0.1542026262785557,60.246124014103614
C2,_steepness,8,0.3944730001581567,0.11987289806756929,76.08184226739974
C2,_steepness,10,0.40013628593978606,0.14524732749963903,144.01477147327682
C2,_steepness,12,0.42812258495666483,0.11304959690324023,318.0178253125282
C2,_steepness,14,0.43972655910715863,0.12394734269751928,437.2298585847826
C2,_steepness,16,0.44800771101793674,0.1049373832121614,508.193289678753
C2,_steepness,18,0.4646129409501528,0.09579041619533124,605.0550223392975
C2,_steepness,20,0.5219190359059056,0.12502602290749065,990.1106360737815
C2,_steepness,22,0.4469584686576854,0.06795825939835554,1174.7575616354284
C2,_steepness,24,0.42531295630897925,0.11233558548424916,3230.904017489369
C2,_steepness,27,0.5239919098100758,0.15430948862479155,8222.607947788616
RRDN4-b50,explicit,0,0.14035765922744758,0.1669045793633969,0.7427916746082391
RRDN4-b50,explicit,2,0.31015793976373973,0.7941957008726362,234.80033187452605
RRDN4-b50,explicit,4,0.358527577186469,0.7107270168371989,208.0097908640727
RRDN4-b50,explicit,6,0.3353906926885247,0.2894567038507973,122.74305973586412
RRDN4-b50,explicit,8,0.40104168234393,0.7105428759885041,454.0228623310702
RRDN4-b50,explicit,10,0.36167678367346523,-0.21699959587068085,-154.7021903342716
