model,tier,layer,cosine_sim
RRDNS4-b50,token_adjacent,3,-0.33908205449581147
RRDNS4-b50,token_adjacent,8,-0.38670574940741065
RRDNS4-b50,token_adjacent,16,-0.3378172969073057
RRDNS4-b50,token_adjacent,20,-0.2615538329258561
RRDNS4-b50,concept_adjacent,3,-0.3409773887693882
RRDNS4-b50,concept_adjacent,8,-0.38902102284133433
RRDNS4-b50,concept_adjacent,16,-0.340086226016283
RRDNS4-b50,concept_adjacent,20,-0.27490003015846015
RRDNS4-b50,weakly_adjacent,3,-0.3414686270058155
RRDNS4-b50,weakly_adjacent,8,-0.3873526819050312
RRDNS4-b50,weakly_adjacent,16,-0.34028489217162133
RRDNS4-b50,weakly_adjacent,20,-0.2746504890918732
RRDNS4-b50,negated,3,-0.3371111323684454
RRDNS4-b50,negated,8,-0.39334759883582593
RRDNS4-b50,negated,16,-0.3425038618594408
RRDNS4-b50,negated,20,-0.26682914450764655
RRDNS4-b50,neutral,3,-0.341760478913784
RRDNS4-b50,neutral,8,-0.39395908810198305
RRDNS4-b50,neutral,16,-0.3490043789893389
RRDNS4-b50,neutral,20,-0.275210814923048
RRDNS4-b50,_steepness,3,0.009220373556017902
RRDNS4-b50,_steepness,8,0.0017155152559280018
RRDNS4-b50,_steepness,16,0.012553855404257797
RRDNS4-b50,_steepness,20,0.16677157524973152
