model,tier,layer,cosine_sim
RRDNS4-b50,token_adjacent,3,-0.2952051368355751
RRDNS4-b50,token_adjacent,8,-0.38492279723286627
RRDNS4-b50,token_adjacent,16,-0.26665080793201923
RRDNS4-b50,token_adjacent,20,-0.21508828576654196
RRDNS4-b50,concept_adjacent,3,-0.2973003017902374
RRDNS4-b50,concept_adjacent,8,-0.3876471580564976
RRDNS4-b50,concept_adjacent,16,-0.2710246543213725
RRDNS4-b50,concept_adjacent,20,-0.23729865692555904
RRDNS4-b50,weakly_adjacent,3,-0.29757433347404005
RRDNS4-b50,weakly_adjacent,8,-0.3854687082022428
RRDNS4-b50,weakly_adjacent,16,-0.2702690067514777
RRDNS4-b50,weakly_adjacent,20,-0.23331258807331323
RRDNS4-b50,negated,3,-0.2937415910512209
RRDNS4-b50,negated,8,-0.3923267059028149
RRDNS4-b50,negated,16,-0.2782209615036845
RRDNS4-b50,negated,20,-0.2463088572397828
RRDNS4-b50,neutral,3,-0.29816111735999584
RRDNS4-b50,neutral,8,-0.3925869990885258
RRDNS4-b50,neutral,16,-0.28202592235058543
RRDNS4-b50,neutral,20,-0.24703106511384249
RRDNS4-b50,_steepness,3,0.009060216993093506
RRDNS4-b50,_steepness,8,0.0007968308031559013
RRDNS4-b50,_steepness,16,0.027700249888002848
RRDNS4-b50,_steepness,20,0.2045381742416066
