model,position,tier,layer,cosine,causal_similarity,causal_projection
C2,1,weakly_adjacent,0,-0.18594761630462017,-0.14832391212092433,-0.6642166444250875
C2,1,weakly_adjacent,8,-0.184456575618824,-0.8599736328682103,-604.4263450482181
C2,1,weakly_adjacent,16,-0.27892705003730955,-0.9528339358803771,-1371.6698745884942
C2,1,weakly_adjacent,27,-0.43882453843951225,-0.9886695942354552,-14254.175653459299
C2,1,negated,0,-0.17183519790880383,-0.14648459786159415,-0.6564094951030625
C2,1,negated,8,-0.17972292243735866,-0.864312225642541,-623.6524985004737
C2,1,negated,16,-0.27367653291672467,-0.9538681234735819,-1367.5373392037575
C2,1,negated,27,-0.43287061646580693,-0.9886657217381343,-14215.25915740438
C2,1,neutral,0,-0.18203058656072243,-0.15035617960590433,-0.671928124561262
C2,1,neutral,8,-0.18475873047718777,-0.8640202220141623,-611.3613211455167
C2,1,neutral,16,-0.2876302999909967,-0.9555410643358061,-1403.3812033463955
C2,1,neutral,27,-0.4391702177375555,-0.9886839719092638,-14424.047471526084
C2,2,explicit,0,0.12668438789900394,0.13534617312224065,0.6073347728708517
C2,2,explicit,8,0.08200944914948195,-0.7443849237551978,-373.4665239512523
C2,2,explicit,16,0.035425245098304005,-0.8911386583914174,-987.2704373654279
C2,2,explicit,27,0.02722576163941994,-0.9333483647440548,-8618.42440960183
C2,2,token_adjacent,0,-0.06872214839153458,-0.06665210743668265,-0.2809851687224911
C2,2,token_adjacent,8,-0.20530681972391904,-0.86957594866209,-614.8475651804068
C2,2,token_adjacent,16,-0.19983947734348476,-0.9284577918189378,-1240.7359100984715
C2,2,token_adjacent,27,-0.3653061610087752,-0.9845605320180509,-13243.418416420063
C2,2,concept_adjacent,0,-0.0692720245727105,-0.06828248267836462,-0.2831680172372832
C2,2,concept_adjacent,8,-0.21436175339855254,-0.8671687672477869,-626.0604003232947
C2,2,concept_adjacent,16,-0.2050095552392304,-0.924954020929513,-1242.9553730768716
C2,2,concept_adjacent,27,-0.37526126105338337,-0.9850174569531042,-13490.87397191253
C2,2,weakly_adjacent,0,-0.07025562942144462,-0.07379632288401237,-0.31180625495912084
C2,2,weakly_adjacent,8,-0.2204901486914605,-0.8697380769457875,-640.3289450396331
C2,2,weakly_adjacent,16,-0.2107811053749174,-0.9269450782110319,-1262.275868850262
C2,2,weakly_adjacent,27,-0.3739086454734206,-0.9848524603333906,-13383.593179375483
C2,2,negated,0,-0.07100436896813335,-0.06481162299687022,-0.2724117934092143
C2,2,negated,8,-0.218350746082142,-0.8786962257196911,-639.7276420084654
C2,2,negated,16,-0.2049710098467767,-0.9220242606838156,-1246.2871879045008
C2,2,negated,27,-0.3647596479952335,-0.98465016310653,-13128.310229318615
C2,2,neutral,0,-0.0734986181219574,-0.07232438677577246,-0.30792817596796107
C2,2,neutral,8,-0.2206267639901489,-0.8782770042222459,-642.1402185600523
C2,2,neutral,16,-0.21673157068900764,-0.9251499639122488,-1276.8710126719989
C2,2,neutral,27,-0.3735581228509545,-0.9850171622696854,-13439.03055136611
C2,3,explicit,0,0.07735983042686712,0.10683525569488221,0.4561242350817071
C2,3,explicit,8,0.05639624713687226,-0.7721884700712102,-447.50009568802557
C2,3,explicit,16,0.019847230164450592,-0.8972691293390508,-965.0807720377966
C2,3,explicit,27,0.004388072498259134,-0.9273723839982151,-8020.723727715597
C2,3,token_adjacent,0,-0.12684367935638874,-0.10874065229896686,-0.45019243593547725
C2,3,token_adjacent,8,-0.21421568226534873,-0.9024359671663188,-665.8014105542595
C2,3,token_adjacent,16,-0.2119179990561679,-0.9406321878064261,-1284.9443822981825
C2,3,token_adjacent,27,-0.392272386951372,-0.9862988457043952,-13373.66679373861
C2,3,concept_adjacent,0,-0.12565718371479306,-0.10488223098972803,-0.43764593977315713
C2,3,concept_adjacent,8,-0.2170559872640297,-0.9051007352057857,-674.3192213574235
C2,3,concept_adjacent,16,-0.2160646846331656,-0.9408331790077378,-1309.6400508438312
C2,3,concept_adjacent,27,-0.4026030055060983,-0.9866134288978509,-13646.627936148008
C2,3,weakly_adjacent,0,-0.13380307796149282,-0.10962526671806298,-0.4545529670534441
C2,3,weakly_adjacent,8,-0.22310765887377784,-0.9088218719683584,-680.4894181652888
C2,3,weakly_adjacent,16,-0.22257995732128621,-0.9402187041420382,-1318.8592000555882
C2,3,weakly_adjacent,27,-0.39975899148732424,-0.9863261233133269,-13461.79035375489
C2,3,negated,0,-0.12306893126980867,-0.09600824175472969,-0.39142659161905496
C2,3,negated,8,-0.2138203434739262,-0.8990304445786037,-665.066604524885
C2,3,negated,16,-0.21124533776193857,-0.9366081551593893,-1268.7923495798916
C2,3,negated,27,-0.39539444852620365,-0.9858537525419231,-13289.369368523881
