model,position,tier,layer,cosine,causal_similarity,causal_projection
C2,1,weakly_adjacent,27,0.045558546748070514,0.7423228777427204,10766.739253230444
C2,1,negated,0,0.04069635810796171,0.02285619082222147,0.13556398577855083
C2,1,negated,8,-0.021376945155207067,0.305603818532104,209.048683960567
C2,1,negated,16,-0.014978230386041104,0.8004663396377893,1148.235259934958
C2,1,negated,27,0.03137137110607,0.7407522634952202,10194.459993292414
C2,1,neutral,0,0.02332770092146737,0.005246223926970502,0.050004352892694955
C2,1,neutral,8,-0.039867610447108744,0.3026888935936522,217.98521863609324
C2,1,neutral,16,-0.030009694555774333,0.7989031729404451,1170.9564629063457
C2,1,neutral,27,0.03575884523136275,0.7409240231179497,10649.536048514648
C2,2,explicit,0,0.06444354714127258,0.06469659315494924,0.27098785782570295
C2,2,explicit,8,0.032627774426946414,0.20806590626753008,145.50265505263104
C2,2,explicit,16,0.07793084883218399,0.7553890632910781,1057.9483110915992
C2,2,explicit,27,0.18129177356837317,0.9434508845560237,12950.61058426837
C2,2,token_adjacent,0,0.010261010358808562,0.012616502311231898,0.04984718795492336
C2,2,token_adjacent,8,-0.013533820594893768,0.1925677453555435,143.8234808683997
C2,2,token_adjacent,16,0.020578365155961363,0.7391300539238382,1002.0568860952782
